date_production,site,ligne_production,type_piece,ordre_fabrication,quantite_produite,quantite_conforme,quantite_non_conforme,temps_cycle_min,delai_prevu_jours,delai_reel_jours,statut_livraison,type_anomalie,gravite_anomalie,cout_non_qualite,operateur_equipe,shift,taux_disponibilite_machine,temperature_machine,vibration_machine
2024-01-29,Casablanca,Ligne A320,Cadre structure,OF-2024-003160,67,63,4,43.88,11,11,À l'heure,Défaut assemblage,Majeure,1565.42,Équipe Alpha,Après-midi,0.995,72.8,3.29
2024-01-29,Montoir-de-Bretagne,Ligne A350,Porte avion,OF-2024-007642,77,70,7,67.77,3,7,En retard,Écart documentaire,Majeure,2917.8,Équipe Bravo,Après-midi,0.9449,70.84,3.04
2024-01-29,Casablanca,Ligne Assemblage Cabine,Porte avion,OF-2024-010412,57,53,4,47.7,8,7,À l'heure,Défaut assemblage,Majeure,1318.06,Équipe Charlie,Après-midi,0.8853,64.24,2.31
2024-01-29,Casablanca,Ligne Assemblage Cabine,Panneau fuselage,OF-2025-010065,57,55,2,54.63,4,4,À l'heure,Défaut assemblage,Mineure,597.53,Équipe Charlie,Après-midi,0.995,60.5,2.88
2024-01-29,Casablanca,Ligne Composite,Cadre structure,OF-2024-006614,70,65,5,61.11,6,12,En retard,Panne machine,Critique,3026.4,Équipe Delta,Après-midi,0.9019,64.19,3.86
2024-01-29,Rochefort,Ligne A320,Porte avion,OF-2024-000358,59,55,4,59.08,5,7,En retard,Défaut dimensionnel,Mineure,942.96,Équipe Bravo,Après-midi,0.8811,67.79,2.36
2024-01-29,Montoir-de-Bretagne,Ligne A320,Plancher cabine,OF-2025-003143,58,55,3,49.37,5,5,À l'heure,Défaut dimensionnel,Mineure,991.21,Équipe Charlie,Après-midi,0.9044,72.49,3.27
2024-01-29,Casablanca,Ligne A350,Plancher cabine,OF-2025-008165,66,64,2,67.84,7,7,À l'heure,Défaut dimensionnel,Mineure,738.88,Équipe Alpha,Matin,0.8783,68.21,2.82
2024-01-29,Montoir-de-Bretagne,Ligne A330,Panneau fuselage,OF-2025-009761,79,75,4,52.51,9,9,À l'heure,Défaut dimensionnel,Mineure,1386.2,Équipe Delta,Après-midi,0.892,65.85,2.3
2024-01-29,Casablanca,Ligne A350,Sous-ensemble composite,OF-2024-007166,65,58,7,74.97,11,15,En retard,Non-conformité matière,Majeure,2495.32,Équipe Bravo,Après-midi,0.9437,69.25,2.92
2024-01-30,Casablanca,Ligne A320,Panneau fuselage,OF-2025-004639,76,75,1,58.75,11,15,En retard,Panne machine,Critique,1150.8,Équipe Alpha,Après-midi,0.8591,52.06,2.76
2024-01-30,Casablanca,Ligne A320,Cadre structure,OF-2024-001680,60,59,1,38.62,10,9,À l'heure,Défaut dimensionnel,Majeure,666.01,Équipe Charlie,Matin,0.8846,66.39,1.77
2024-01-30,Rochefort,Ligne A320,Sous-ensemble composite,OF-2025-011481,74,68,6,48.1,3,6,En retard,Non-conformité matière,Majeure,2651.02,Équipe Alpha,Matin,0.9215,62.38,2.35
2024-01-30,Casablanca,Ligne A330,Porte avion,OF-2025-008293,73,73,0,59.77,10,15,En retard,Aucune,Aucune,0.0,Équipe Alpha,Matin,0.9335,74.58,2.26
2024-01-30,Casablanca,Ligne Composite,Panneau fuselage,OF-2024-002224,73,69,4,78.9,10,12,En retard,Retouche peinture,Critique,2158.89,Équipe Delta,Matin,0.9132,67.93,3.36
2024-01-30,Rochefort,Ligne A320,Porte avion,OF-2024-005704,81,80,1,50.87,6,9,En retard,Non-conformité matière,Critique,1338.8,Équipe Charlie,Nuit,0.8313,68.24,2.33
2024-01-30,Casablanca,Ligne A350,Cadre structure,OF-2025-000095,67,66,1,51.38,2,5,En retard,Retouche peinture,Mineure,423.17,Équipe Delta,Matin,0.899,65.27,3.11
2024-01-30,Montoir-de-Bretagne,Ligne A330,Sous-ensemble composite,OF-2024-005268,56,53,3,56.15,9,9,À l'heure,Écart documentaire,Mineure,1100.27,Équipe Delta,Matin,0.9826,65.27,2.47
2024-01-30,Rochefort,Ligne A350,Sous-ensemble composite,OF-2025-011555,62,57,5,62.59,8,8,À l'heure,Défaut dimensionnel,Mineure,2002.98,Équipe Alpha,Après-midi,0.8793,68.98,2.08
2024-01-30,Casablanca,Ligne Composite,Panneau fuselage,OF-2024-006072,73,68,5,53.3,8,8,À l'heure,Écart documentaire,Mineure,1614.36,Équipe Bravo,Après-midi,0.9062,60.13,3.03
2024-01-30,Rochefort,Ligne A350,Sous-ensemble composite,OF-2025-008605,42,36,6,57.74,11,11,À l'heure,Retouche peinture,Mineure,2611.97,Équipe Charlie,Nuit,0.9434,75.97,2.34
2024-01-30,Casablanca,Ligne A350,Plancher cabine,OF-2024-001842,69,62,7,34.28,6,6,À l'heure,Contrôle qualité bloquant,Majeure,2225.08,Équipe Charlie,Matin,0.9258,68.15,1.99
2024-01-30,Casablanca,Ligne A350,Porte avion,OF-2024-003886,70,59,11,53.87,10,13,En retard,Non-conformité matière,Mineure,4245.19,Équipe Charlie,Matin,0.962,65.62,2.61
2024-01-30,Casablanca,Ligne A320,Porte avion,OF-2024-006558,72,64,8,57.51,11,12,En retard,Défaut assemblage,Critique,3431.84,Équipe Charlie,Matin,0.9216,71.31,2.11
2024-01-31,Casablanca,Ligne A350,Panneau fuselage,OF-2024-008244,59,54,5,63.03,5,8,En retard,Retouche peinture,Majeure,2055.73,Équipe Bravo,Après-midi,0.8365,58.47,3.04
2024-01-31,Rochefort,Ligne A350,Porte avion,OF-2024-005290,70,67,3,67.42,9,8,À l'heure,Retouche peinture,Mineure,795.41,Équipe Charlie,Matin,0.9305,61.59,3.24
2024-01-31,Montoir-de-Bretagne,Ligne A320,Plancher cabine,OF-2024-001604,52,50,2,35.61,4,4,À l'heure,Écart documentaire,Majeure,1059.46,Équipe Alpha,Après-midi,0.8484,86.45,2.11
2024-01-31,Casablanca,Ligne Composite,Sous-ensemble composite,OF-2024-004232,54,49,5,61.23,8,8,À l'heure,Contrôle qualité bloquant,Majeure,2362.81,Équipe Delta,Matin,0.8865,66.28,2.14
2024-01-31,Casablanca,Ligne Assemblage Cabine,Panneau fuselage,OF-2024-011380,37,37,0,53.66,3,3,À l'heure,Aucune,Aucune,0.0,Équipe Delta,Après-midi,0.9154,65.88,2.64
2024-01-31,Rochefort,Ligne A350,Cadre structure,OF-2024-011470,69,69,0,65.19,6,6,À l'heure,Aucune,Aucune,0.0,Équipe Bravo,Matin,0.851,74.4,1.88
2024-01-31,Casablanca,Ligne A330,Cadre structure,OF-2025-004539,63,58,5,46.16,8,11,En retard,Défaut assemblage,Mineure,1783.97,Équipe Charlie,Nuit,0.9143,57.14,2.19
2024-01-31,Rochefort,Ligne Composite,Porte avion,OF-2024-004874,56,53,3,59.87,10,10,À l'heure,Contrôle qualité bloquant,Majeure,1600.21,Équipe Delta,Après-midi,0.9233,75.18,1.84
2024-01-31,Casablanca,Ligne Composite,Sous-ensemble composite,OF-2025-002205,61,55,6,87.82,2,2,À l'heure,Retouche peinture,Majeure,2478.52,Équipe Bravo,Après-midi,0.8525,63.23,2.09
2024-01-31,Casablanca,Ligne A320,Porte avion,OF-2025-009819,75,74,1,51.63,3,6,En retard,Écart documentaire,Mineure,486.53,Équipe Delta,Après-midi,0.8584,83.93,2.13
2024-01-31,Casablanca,Ligne A350,Porte avion,OF-2025-001177,75,72,3,59.51,3,7,En retard,Panne machine,Majeure,1594.24,Équipe Alpha,Après-midi,0.7697,70.26,3.68
2024-01-31,Montoir-de-Bretagne,Ligne Composite,Sous-ensemble composite,OF-2024-010560,50,42,8,,10,13,En retard,Non-conformité matière,Majeure,2468.34,Équipe Charlie,Après-midi,0.9214,64.31,2.62
2024-02-01,Casablanca,Ligne A350,Panneau fuselage,OF-2025-001289,65,63,2,49.08,6,5,À l'heure,Non-conformité matière,Majeure,1246.38,Équipe Alpha,Après-midi,0.9489,63.47,0.92
2024-02-01,Casablanca,Ligne A330,Cadre structure,OF-2024-001768,50,48,2,69.43,4,7,En retard,Défaut assemblage,Mineure,737.61,Équipe Charlie,Nuit,0.995,72.45,2.38
2024-02-01,Casablanca,Ligne A320,Porte avion,OF-2024-001294,59,54,5,63.26,3,3,À l'heure,Défaut dimensionnel,Mineure,1704.19,Équipe Alpha,Nuit,0.9579,73.71,1.63
2024-02-01,Casablanca,Ligne A330,Plancher cabine,OF-2025-001111,60,59,1,43.61,5,5,À l'heure,Défaut dimensionnel,Critique,1193.65,Équipe Delta,Après-midi,0.8862,77.98,1.99
2024-02-01,Rochefort,Ligne A330,Panneau fuselage,OF-2024-002188,73,70,3,50.86,8,8,À l'heure,Défaut assemblage,Majeure,1543.43,Équipe Delta,Matin,0.9341,70.47,1.84
2024-02-01,Montoir-de-Bretagne,Ligne A320,Porte avion,OF-2025-002425,60,54,6,56.69,6,7,En retard,Panne machine,Majeure,1553.66,Équipe Alpha,Après-midi,0.8506,70.69,3.64
2024-02-01,Casablanca,Ligne A330,Sous-ensemble composite,OF-2025-005407,75,63,12,67.47,2,8,En retard,Écart documentaire,Majeure,3136.83,Équipe Charlie,Après-midi,0.9279,55.06,3.05
2024-02-01,Casablanca,Ligne A350,Plancher cabine,OF-2025-000753,66,63,3,53.16,4,3,À l'heure,Retouche peinture,Majeure,1367.15,Équipe Delta,Après-midi,0.9461,63.29,1.89
2024-02-01,Rochefort,Ligne Composite,Porte avion,OF-2024-010428,70,67,3,62.51,5,5,À l'heure,Défaut dimensionnel,Majeure,1330.69,Équipe Alpha,Après-midi,0.911,66.95,2.16
2024-02-01,Montoir-de-Bretagne,Ligne A330,Cadre structure,OF-2024-006294,60,56,4,25.14,4,3,À l'heure,Panne machine,Majeure,1381.1,Équipe Delta,Matin,0.8138,67.31,3.87
2024-02-01,Casablanca,Ligne A330,Sous-ensemble composite,OF-2025-005175,40,35,5,60.74,7,8,En retard,Défaut assemblage,Majeure,1906.77,Équipe Charlie,Matin,0.9268,76.93,2.76
2024-02-01,Casablanca,Ligne Assemblage Cabine,Panneau fuselage,OF-2024-011536,76,69,7,48.38,4,4,À l'heure,Contrôle qualité bloquant,Majeure,2545.54,Équipe Charlie,Après-midi,0.951,73.23,3.1
2024-02-01,Casablanca,Ligne Assemblage Cabine,Cadre structure,OF-2024-010450,69,68,1,45.42,3,9,En retard,Retouche peinture,Mineure,558.41,Équipe Charlie,Nuit,0.9199,62.91,2.96
2024-02-01,Casablanca,Ligne A350,Cadre structure,OF-2024-000136,67,63,4,54.08,6,12,En retard,Défaut dimensionnel,Majeure,1649.56,Équipe Charlie,Matin,0.9374,64.71,3.34
2024-02-01,Casablanca,Ligne A320,Sous-ensemble composite,OF-2024-003424,66,65,1,65.12,2,7,En retard,Retouche peinture,Majeure,807.18,Équipe Charlie,Après-midi,0.921,59.85,2.6
2024-02-01,Casablanca,Ligne A320,Cadre structure,OF-2024-011422,59,53,6,35.35,11,10,À l'heure,Défaut dimensionnel,Majeure,2518.84,Équipe Charlie,Après-midi,0.958,68.17,3.27
2024-02-01,Rochefort,Ligne A320,Sous-ensemble composite,OF-2024-011090,41,37,4,43.64,4,7,En retard,Défaut assemblage,Majeure,1818.35,Équipe Alpha,Après-midi,0.9168,67.65,2.31
2024-02-01,Rochefort,Ligne Composite,Panneau fuselage,OF-2025-004025,57,49,8,55.33,8,9,En retard,Retouche peinture,Mineure,2802.58,Équipe Charlie,Après-midi,0.9542,69.64,3.4
2024-02-01,Rochefort,Ligne Composite,Panneau fuselage,OF-2025-009253,55,45,10,44.65,11,11,À l'heure,Défaut assemblage,Mineure,3331.34,Équipe Charlie,Après-midi,0.909,70.04,2.16
2024-02-01,Casablanca,Ligne A320,Cadre structure,OF-2024-011276,66,65,1,41.57,11,11,À l'heure,Contrôle qualité bloquant,Critique,1274.31,Équipe Alpha,Matin,0.8769,70.92,2.66
2024-02-02,Casablanca,Ligne A320,Sous-ensemble composite,OF-2024-011606,64,60,4,63.15,8,8,À l'heure,Défaut dimensionnel,Mineure,1547.61,Équipe Alpha,Après-midi,0.9165,74.82,2.59
2024-02-02,Casablanca,Ligne A330,Panneau fuselage,OF-2025-011251,65,64,1,53.28,6,6,À l'heure,Retouche peinture,Majeure,621.37,Équipe Bravo,Matin,0.9295,62.31,2.77
2024-02-02,Rochefort,Ligne Composite,Cadre structure,OF-2025-006921,57,51,6,57.55,5,5,À l'heure,Défaut assemblage,Mineure,2606.36,Équipe Bravo,Après-midi,0.9044,61.6,2.73
2024-02-02,Rochefort,Ligne A350,Panneau fuselage,OF-2024-006264,83,81,2,51.72,10,10,À l'heure,Défaut assemblage,Mineure,896.43,Équipe Delta,Après-midi,0.9466,67.9,2.34
2024-02-02,Rochefort,Ligne A350,Sous-ensemble composite,OF-2024-007878,72,68,4,65.96,11,15,En retard,Défaut assemblage,Mineure,1674.13,Équipe Alpha,Après-midi,0.9692,66.67,2.21
2024-02-02,Casablanca,Ligne A350,Porte avion,OF-2025-003977,69,66,3,,10,10,À l'heure,Panne machine,Majeure,1618.98,Équipe Alpha,Après-midi,0.8686,61.27,4.05
2024-02-02,Rochefort,Ligne Assemblage Cabine,Cadre structure,OF-2025-006305,61,60,1,24.41,3,3,À l'heure,Non-conformité matière,Mineure,470.12,Équipe Charlie,Nuit,0.995,74.84,2.38
2024-02-02,Montoir-de-Bretagne,Ligne Composite,Cadre structure,OF-2025-001285,54,51,3,59.91,7,10,En retard,Écart documentaire,Critique,1812.2,Équipe Delta,Après-midi,0.9251,71.88,3.11
2024-02-02,Casablanca,Ligne Assemblage Cabine,Porte avion,OF-2025-002233,74,69,5,50.64,4,4,À l'heure,Écart documentaire,Majeure,1871.93,Équipe Delta,Après-midi,0.9578,62.38,1.34
2024-02-02,Montoir-de-Bretagne,Ligne Assemblage Cabine,Cadre structure,OF-2024-003820,63,61,2,30.24,11,10,À l'heure,Contrôle qualité bloquant,Majeure,860.91,Équipe Alpha,Nuit,0.8721,73.31,1.73
2024-02-02,Casablanca,Ligne A330,Panneau fuselage,OF-2025-009675,67,66,1,59.61,3,2,À l'heure,Défaut dimensionnel,Majeure,795.83,Équipe Alpha,Après-midi,0.9603,59.43,2.61
2024-02-02,Casablanca,Ligne A350,Panneau fuselage,OF-2025-009523,80,72,8,71.04,2,2,À l'heure,Défaut assemblage,Mineure,2899.02,Équipe Charlie,Après-midi,0.9276,68.92,2.88
2024-02-02,Casablanca,Ligne Assemblage Cabine,Panneau fuselage,OF-2024-004018,52,51,1,55.18,7,7,À l'heure,Non-conformité matière,Mineure,451.25,Équipe Alpha,Nuit,0.9648,48.44,2.64
2024-02-02,Casablanca,Ligne A320,Porte avion,OF-2024-002330,88,84,4,63.3,10,16,En retard,Écart documentaire,Mineure,1428.89,Équipe Alpha,Après-midi,0.9577,62.09,1.67
2024-02-02,Casablanca,Ligne A330,Cadre structure,OF-2024-005154,69,67,2,61.56,5,9,En retard,Non-conformité matière,Majeure,1070.9,Équipe Alpha,Nuit,0.8927,70.51,2.97
2024-02-02,Rochefort,Ligne Composite,Panneau fuselage,OF-2025-000837,81,78,3,69.79,11,11,À l'heure,Non-conformité matière,Majeure,1325.8,Équipe Bravo,Matin,0.7857,77.67,2.6
2024-02-02,Casablanca,Ligne Composite,Porte avion,OF-2025-000741,62,56,6,68.6,11,16,En retard,Défaut assemblage,Majeure,1561.68,Équipe Bravo,Matin,0.9864,70.71,2.23
2024-02-03,Rochefort,Ligne A330,Plancher cabine,OF-2025-001387,64,62,2,48.48,3,3,À l'heure,Contrôle qualité bloquant,Majeure,1012.25,Équipe Delta,Matin,0.9553,69.47,2.44
2024-02-03,Rochefort,Ligne Assemblage Cabine,Panneau fuselage,OF-2025-010201,40,39,1,52.31,7,7,À l'heure,Non-conformité matière,Mineure,540.04,Équipe Bravo,Matin,0.9504,55.0,2.23
2024-02-03,Casablanca,Ligne Assemblage Cabine,Panneau fuselage,OF-2025-006787,56,50,6,42.33,11,10,À l'heure,Non-conformité matière,Mineure,1591.24,Équipe Bravo,Après-midi,0.995,70.17,2.67
2024-02-03,Rochefort,Ligne A350,Panneau fuselage,OF-2024-001060,69,65,4,67.51,5,10,En retard,Défaut assemblage,Mineure,1286.85,Équipe Delta,Matin,0.8492,69.6,2.2
2024-02-03,Montoir-de-Bretagne,Ligne Assemblage Cabine,Panneau fuselage,OF-2025-000999,49,45,4,38.1,4,7,En retard,Non-conformité matière,Majeure,1945.91,Équipe Charlie,Après-midi,0.8671,66.9,2.53
2024-02-03,Casablanca,Ligne A320,Panneau fuselage,OF-2025-005921,68,68,0,44.24,8,8,À l'heure,Aucune,Aucune,0.0,Équipe Alpha,Nuit,0.8395,66.15,2.06
2024-02-03,Casablanca,Ligne A320,Porte avion,OF-2024-010974,60,58,2,55.57,9,9,À l'heure,Défaut dimensionnel,Majeure,877.65,Équipe Delta,Après-midi,0.8531,82.58,2.07
2024-02-03,Casablanca,Ligne A320,Sous-ensemble composite,OF-2025-008503,48,45,3,55.43,7,7,À l'heure,Défaut dimensionnel,Mineure,921.83,Équipe Charlie,Après-midi,0.8066,78.77,3.1
2024-02-03,Casablanca,Ligne Assemblage Cabine,Porte avion,OF-2024-008912,77,76,1,56.16,11,16,En retard,Contrôle qualité bloquant,Majeure,786.41,Équipe Charlie,Matin,0.9081,76.27,1.79
2024-02-03,Rochefort,Ligne A320,Cadre structure,OF-2024-007238,87,84,3,43.37,2,2,À l'heure,Panne machine,Majeure,1056.39,Équipe Bravo,Nuit,0.7435,76.83,3.58
2024-02-03,Casablanca,Ligne Composite,Panneau fuselage,OF-2024-011052,64,62,2,65.83,2,7,En retard,Écart documentaire,Mineure,790.85,Équipe Delta,Après-midi,0.9174,70.76,1.49
2024-02-04,Casablanca,Ligne Assemblage Cabine,Panneau fuselage,OF-2024-008206,72,68,4,43.3,2,2,À l'heure,Défaut dimensionnel,Majeure,1311.13,Équipe Charlie,Nuit,0.9077,64.92,2.44
2024-02-04,Casablanca,Ligne A320,Sous-ensemble composite,OF-2024-000806,46,44,2,35.25,4,3,À l'heure,Écart documentaire,Mineure,830.95,Équipe Alpha,Après-midi,0.8578,75.44,2.68
2024-02-04,Casablanca,Ligne A330,Panneau fuselage,OF-2024-007228,48,45,3,55.14,4,4,À l'heure,Défaut dimensionnel,Mineure,842.82,Équipe Bravo,Nuit,0.8461,65.24,2.11
2024-02-04,Rochefort,Ligne A350,Plancher cabine,OF-2025-008413,60,56,4,31.57,5,5,À l'heure,Retouche peinture,Critique,2174.79,Équipe Delta,Après-midi,0.8872,67.32,2.86
2024-02-04,Casablanca,Ligne Composite,Porte avion,OF-2024-009600,64,61,3,81.08,7,11,En retard,Défaut dimensionnel,Critique,1770.39,Équipe Delta,Après-midi,0.9535,55.38,1.99
2024-02-04,Casablanca,Ligne A320,Cadre structure,OF-2024-005470,68,65,3,46.98,3,2,À l'heure,Non-conformité matière,Mineure,1090.15,Équipe Alpha,Matin,0.8895,67.4,1.43
2024-02-04,Rochefort,Ligne Composite,Cadre structure,OF-2025-011433,80,79,1,56.43,4,4,À l'heure,Retouche peinture,Majeure,729.92,Équipe Alpha,Après-midi,0.9464,71.05,3.51
2024-02-04,Rochefort,Ligne A320,Panneau fuselage,OF-2024-010964,70,65,5,64.38,9,9,À l'heure,Défaut dimensionnel,Majeure,1849.24,Équipe Charlie,Après-midi,0.9379,63.8,2.81
2024-02-04,Casablanca,Ligne A320,Plancher cabine,OF-2024-005546,51,46,5,51.25,7,13,En retard,Défaut assemblage,Mineure,2427.63,Équipe Charlie,Matin,0.8362,64.32,2.42
2024-02-04,Casablanca,Ligne A350,Panneau fuselage,OF-2025-003753,65,64,1,60.63,4,10,En retard,Non-conformité matière,Mineure,369.53,Équipe Delta,Après-midi,0.8555,66.33,2.76
2024-02-04,Casablanca,Ligne Composite,Porte avion,OF-2025-004591,76,69,7,80.04,10,16,En retard,Écart documentaire,Majeure,3046.03,Équipe Delta,Matin,0.9032,72.38,2.01
2024-02-04,Casablanca,Ligne Composite,Plancher cabine,OF-2025-002683,59,57,2,60.21,7,7,À l'heure,Défaut assemblage,Majeure,822.25,Équipe Charlie,Nuit,0.9879,75.73,2.06
2024-02-05,Casablanca,Ligne Composite,Sous-ensemble composite,OF-2025-000125,71,70,1,56.19,2,1,À l'heure,Défaut assemblage,Majeure,616.12,Équipe Charlie,Matin,0.9349,66.98,1.58
2024-02-05,Casablanca,Ligne Composite,Sous-ensemble composite,OF-2024-009312,73,68,5,73.58,9,12,En retard,Non-conformité matière,Majeure,1713.32,Équipe Charlie,Matin,0.9328,65.15,2.59
2024-02-05,Casablanca,Ligne A330,Plancher cabine,OF-2025-011191,65,63,2,32.42,3,2,À l'heure,Défaut dimensionnel,Majeure,993.73,Équipe Bravo,Nuit,0.9572,77.4,3.25
2024-02-05,Casablanca,Ligne Assemblage Cabine,Panneau fuselage,OF-2025-001215,59,56,3,44.11,2,2,À l'heure,Panne machine,Critique,1708.5,Équipe Bravo,Matin,0.8403,72.03,4.29
2024-02-05,Casablanca,Ligne A330,Plancher cabine,OF-2025-011301,77,70,7,59.08,10,10,À l'heure,Défaut dimensionnel,Mineure,2240.28,Équipe Bravo,Après-midi,0.9526,75.51,2.41
2024-02-05,Casablanca,Ligne A350,Sous-ensemble composite,OF-2025-005545,68,65,3,58.65,6,6,À l'heure,Non-conformité matière,Mineure,1112.71,Équipe Alpha,Après-midi,0.9009,71.27,2.77
2024-02-05,Rochefort,Ligne A330,Porte avion,OF-2024-001718,63,59,4,67.11,8,9,En retard,Écart documentaire,Mineure,969.88,Équipe Bravo,Après-midi,0.9117,66.96,2.67
2024-02-05,Casablanca,Ligne A350,Panneau fuselage,OF-2025-005421,70,68,2,59.82,8,13,En retard,Non-conformité matière,Majeure,1193.87,Équipe Alpha,Matin,0.932,69.09,3.54
2024-02-05,Casablanca,Ligne A320,Panneau fuselage,OF-2024-005460,50,48,2,55.41,5,5,À l'heure,Défaut dimensionnel,Majeure,1140.05,Équipe Alpha,Nuit,0.9534,74.54,2.15
2024-02-05,Casablanca,Ligne A350,Plancher cabine,OF-2025-010429,53,47,6,38.22,6,8,En retard,Défaut assemblage,Majeure,2050.14,Équipe Alpha,Matin,0.9347,77.98,2.18
2024-02-05,Montoir-de-Bretagne,Ligne A330,Panneau fuselage,OF-2024-001014,48,48,0,59.02,4,3,À l'heure,Défaut assemblage,Majeure,430.0,Équipe Bravo,Matin,0.9128,60.47,1.82
2024-02-05,Casablanca,Ligne A320,Panneau fuselage,OF-2024-010418,56,56,0,71.32,5,5,À l'heure,Aucune,Aucune,0.0,Équipe Alpha,Matin,0.8745,82.48,2.81
2024-02-05,Rochefort,Ligne Assemblage Cabine,Panneau fuselage,OF-2025-009363,63,63,0,48.81,3,2,À l'heure,Aucune,Aucune,0.0,Équipe Bravo,Matin,0.8902,60.9,2.27
2024-02-06,Casablanca,Ligne A350,Cadre structure,OF-2024-010754,62,57,5,70.0,7,7,À l'heure,Contrôle qualité bloquant,Majeure,2239.59,Équipe Charlie,Matin,0.9387,68.28,3.12
2024-02-06,Montoir-de-Bretagne,Ligne A350,Sous-ensemble composite,OF-2025-002599,76,70,6,49.35,7,10,En retard,Panne machine,Majeure,2769.26,Équipe Bravo,Après-midi,0.8921,67.09,4.58
2024-02-06,Casablanca,Ligne A330,Cadre structure,OF-2025-005757,68,63,5,51.57,10,10,À l'heure,Panne machine,Majeure,2262.98,Équipe Alpha,Nuit,0.7829,74.13,2.84
2024-02-06,Rochefort,Ligne Composite,Plancher cabine,OF-2025-000043,74,70,4,43.66,10,11,En retard,Défaut assemblage,Mineure,878.04,Équipe Delta,Matin,0.8913,68.39,3.23
2024-02-06,Rochefort,Ligne Assemblage Cabine,Plancher cabine,OF-2024-003040,62,58,4,43.73,4,9,En retard,Retouche peinture,Majeure,1435.63,Équipe Charlie,Après-midi,0.8663,69.84,2.55
2024-02-06,Casablanca,Ligne A350,Cadre structure,OF-2025-000423,59,55,4,65.09,7,7,À l'heure,Écart documentaire,Mineure,1317.01,Équipe Delta,Après-midi,0.8848,60.35,1.84
2024-02-06,Rochefort,Ligne A350,Sous-ensemble composite,OF-2025-010685,70,66,4,70.31,2,3,En retard,Défaut dimensionnel,Mineure,1378.31,Équipe Alpha,Après-midi,0.9174,63.93,2.64
2024-02-06,Casablanca,Ligne A320,Sous-ensemble composite,OF-2025-009555,72,68,4,51.13,4,4,À l'heure,Défaut dimensionnel,Majeure,1375.59,Équipe Alpha,Après-midi,0.8755,74.97,1.83
2024-02-06,Casablanca,Ligne A320,Plancher cabine,OF-2025-001895,62,61,1,42.54,7,7,À l'heure,Défaut assemblage,Majeure,769.37,Équipe Delta,Matin,0.8794,73.24,2.39
2024-02-06,Casablanca,Ligne A320,Porte avion,OF-2025-010987,73,66,7,62.02,10,10,À l'heure,Défaut assemblage,Mineure,2185.19,Équipe Alpha,Matin,0.8941,80.88,3.2
2024-02-06,Montoir-de-Bretagne,Ligne A320,Cadre structure,OF-2025-010619,64,63,1,28.83,11,11,À l'heure,Retouche peinture,Majeure,763.66,Équipe Delta,Matin,0.9739,65.49,2.21
2024-02-06,Montoir-de-Bretagne,Ligne A350,Plancher cabine,OF-2025-008593,66,64,2,39.68,10,9,À l'heure,Panne machine,Critique,1571.63,Équipe Bravo,Après-midi,0.8719,65.93,3.78
2024-02-06,Casablanca,Ligne A320,Panneau fuselage,OF-2024-000582,58,57,1,47.29,10,10,À l'heure,Contrôle qualité bloquant,Critique,1285.05,Équipe Alpha,Après-midi,0.9192,73.44,1.89
2024-02-06,Casablanca,Ligne A330,Cadre structure,OF-2024-003426,51,49,2,56.51,7,7,À l'heure,Contrôle qualité bloquant,Critique,1545.91,Équipe Charlie,Matin,0.9122,72.42,2.47
2024-02-06,Casablanca,Ligne A330,Panneau fuselage,OF-2024-008370,48,45,3,45.26,5,4,À l'heure,Défaut assemblage,Majeure,1254.53,Équipe Charlie,Matin,0.9254,68.08,1.7
2024-02-06,Casablanca,Ligne A350,Plancher cabine,OF-2024-011066,70,68,2,50.16,8,13,En retard,Défaut dimensionnel,Critique,1703.81,Équipe Alpha,Après-midi,0.8325,58.09,2.35
2024-02-06,Rochefort,Ligne A350,Plancher cabine,OF-2025-000105,71,65,6,49.59,2,2,À l'heure,Défaut assemblage,Mineure,2637.31,Équipe Charlie,Matin,0.995,61.19,3.12
2024-02-06,Rochefort,Ligne A320,Porte avion,OF-2025-008129,64,59,5,44.98,5,5,À l'heure,Défaut assemblage,Critique,2714.82,Équipe Delta,Après-midi,0.9075,61.39,1.68
2024-02-06,Casablanca,Ligne A320,Sous-ensemble composite,OF-2025-002197,43,40,3,50.8,6,5,À l'heure,Défaut dimensionnel,Mineure,600.02,Équipe Bravo,Après-midi,0.8755,68.39,2.64
2024-02-06,Montoir-de-Bretagne,Ligne A350,Panneau fuselage,OF-2024-002270,45,41,4,60.06,8,8,À l'heure,Non-conformité matière,Majeure,1253.74,Équipe Alpha,Après-midi,0.9411,64.91,0.8
2024-02-06,Montoir-de-Bretagne,Ligne A350,Sous-ensemble composite,OF-2024-004590,63,58,5,69.41,4,4,À l'heure,Défaut dimensionnel,Mineure,1717.74,Équipe Alpha,Après-midi,0.9191,73.37,1.57
2024-02-07,Casablanca,Ligne A330,Sous-ensemble composite,OF-2024-006706,82,73,9,47.73,3,6,En retard,Écart documentaire,Critique,3493.72,Équipe Bravo,Après-midi,0.942,60.95,3.14
2024-02-07,Rochefort,Ligne A320,Cadre structure,OF-2024-005970,58,55,3,49.59,9,9,À l'heure,Panne machine,Critique,2189.01,Équipe Alpha,Après-midi,0.8734,83.55,4.18
2024-02-07,Casablanca,Ligne A330,Porte avion,OF-2025-011747,72,70,2,41.67,11,11,À l'heure,Défaut dimensionnel,Majeure,1065.43,Équipe Charlie,Après-midi,0.9371,63.49,2.39
